,anxiety,anxiety,anxiety,avoidance,avoidance,avoidance,fne,fne,fne,scenario_anx,scenario_anx,scenario_anx,scenario_expect,scenario_expect,scenario_expect,loneliness,loneliness,loneliness,friends_have,friends_have,friends_have,friend_gap,friend_gap,friend_gap,approach_inhibition,approach_inhibition,approach_inhibition,convo_started,convo_started,convo_started
,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
attachment_style,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dismissing,3.05,1.26,32,4.52,1.51,32,2.64,0.98,32,3.02,0.96,32,3.86,1.17,32,2.64,0.76,32,2.69,1.79,32,0.75,2.48,32,1.94,1.05,32,1.62,1.04,32
Fearful,4.3,1.68,27,4.95,1.68,27,3.48,1.24,27,3.5,1.27,27,3.48,0.91,27,2.84,0.64,27,1.93,1.73,27,1.81,4.17,27,2.11,0.97,27,1.11,0.8,27
Preoccupied,3.75,1.44,11,4.09,1.31,11,3.14,1.26,11,3.02,0.99,11,3.29,1.2,11,2.33,0.73,11,2.55,1.63,11,1.73,2.1,11,1.91,1.3,11,0.91,0.7,11
Secure,3.13,1.48,33,4.3,1.23,33,2.53,1.15,33,2.54,0.95,33,4.0,1.41,33,1.84,0.73,33,4.56,2.96,32,0.84,3.23,31,1.42,0.9,33,2.3,1.36,33
