scale,label,n_items,range,alpha,mean,sd
anxiety,Attachment anxiety,4,1-7,0.773,3.478,1.544
avoidance,Attachment avoidance,4,1-7,0.744,4.519,1.463
scenario_anx,Anticipated anxiety (bids),6,1-6,0.703,2.992,1.099
scenario_expect,Expected acceptance (bids),6,1-6,0.81,3.743,1.209
fne,Fear of negative evaluation,6,1-5,0.91,2.875,1.189
loneliness,Loneliness (UCLA-3),3,1-4,0.829,2.401,0.818
